Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,salary bucket,Total Years
EMP1001,Bob,Brown,32,Finance-Texas,Active,10-Jul-20,65305,bob.brown@example.com,1898471390,Excellent,TRUE,60k to 100k,6
EMP1006,Frank,Jones,32,Admin-Nevada,Active,03-Apr-20,96288,frank.jones@example.com,4518376063,Good,FALSE,60k to 100k,6
EMP1009,Charlie,Johnson,32,DevOps-New York,Active,04-Aug-22,76562,charlie.johnson@example.com,8156985699,Excellent,TRUE,60k to 100k,4
EMP1010,David,Williams,35,Cloud Tech-New York,Active,06-Jul-24,72082,david.williams@example.com,2720634590,Average,FALSE,60k to 100k,2
EMP1011,David,Davis,32,DevOps-California,Active,04-Sep-23,84946,david.davis@example.com,1238296576,Poor,TRUE,60k to 100k,3
EMP1012,Heidi,Williams,30,HR-New York,Active,05-Mar-24,89296,heidi.williams@example.com,2429543164,Excellent,FALSE,60k to 100k,2
EMP1013,Grace,Williams,32,Finance-California,Active,10-Oct-20,85667,grace.williams@example.com,2669300892,Good,FALSE,60k to 100k,6
EMP1014,Alice,Garcia,25,Admin-Nevada,Active,10-Jun-24,97634,alice.garcia@example.com,1734206968,Excellent,TRUE,60k to 100k,2
EMP1021,Bob,Jones,40,Cloud Tech-Illinois,Active,19-Sep-20,96183,bob.jones@example.com,5990048963,Good,FALSE,60k to 100k,6
EMP1028,Grace,Garcia,40,Finance-Nevada,Active,11-Oct-23,95742,grace.garcia@example.com,7712151341,Excellent,FALSE,60k to 100k,2
EMP1029,Alice,Brown,40,DevOps-California,Active,24-May-21,63411,alice.brown@example.com,2849939088,Excellent,TRUE,60k to 100k,5
EMP1032,Charlie,Brown,40,Finance-Florida,Active,05-Nov-24,78073,charlie.brown@example.com,7490509758,Average,FALSE,60k to 100k,1
EMP1034,Heidi,Miller,30,Admin-California,Active,29-Apr-20,90543,heidi.miller@example.com,1642361031,Excellent,TRUE,60k to 100k,6
EMP1039,Eva,Williams,40,HR-Texas,Active,27-Jul-22,93481,eva.williams@example.com,8147617421,Poor,FALSE,60k to 100k,4
EMP1044,Eva,Brown,32,Finance-California,Active,08-Jul-20,94400,eva.brown@example.com,5232194167,Good,TRUE,60k to 100k,6
EMP1046,Grace,Garcia,32,Cloud Tech-Texas,Active,13-Dec-24,98371,grace.garcia@example.com,7499564121,Excellent,FALSE,60k to 100k,1
EMP1049,Grace,Miller,32,DevOps-New York,Active,05-Nov-24,61375,grace.miller@example.com,1227770792,Excellent,TRUE,60k to 100k,1
EMP1055,Eva,Brown,30,Sales-California,Active,10-Aug-20,91760,eva.brown@example.com,3959724664,Excellent,TRUE,60k to 100k,6
EMP1070,Charlie,Johnson,40,Finance-California,Active,16-Sep-24,94636,charlie.johnson@example.com,7563410855,Poor,FALSE,60k to 100k,2
EMP1071,Heidi,Johnson,30,HR-Florida,Active,01-Jan-24,70001,heidi.johnson@example.com,2884318847,Average,TRUE,60k to 100k,2
EMP1072,Frank,Smith,32,Cloud Tech-New York,Active,18-Apr-21,76812,frank.smith@example.com,5200894345,Poor,FALSE,60k to 100k,5
EMP1078,Alice,Davis,25,DevOps-Florida,Active,10-Nov-24,82319,alice.davis@example.com,5869886496,Good,TRUE,60k to 100k,1
EMP1080,Grace,Davis,35,Cloud Tech-Florida,Active,14-Mar-24,87759,grace.davis@example.com,2881377027,Average,FALSE,60k to 100k,2
EMP1082,David,Jones,25,Sales-New York,Active,15-Sep-20,83149,david.jones@example.com,8215454469,Poor,TRUE,60k to 100k,6
EMP1085,Grace,Williams,40,DevOps-New York,Active,27-Apr-23,98343,grace.williams@example.com,9756792286,Poor,FALSE,60k to 100k,3
EMP1094,David,Miller,40,Finance-Illinois,Active,15-Nov-23,83327,david.miller@example.com,2004615264,Average,TRUE,60k to 100k,2
EMP1095,Heidi,Miller,25,Cloud Tech-California,Active,08-Apr-22,98425,heidi.miller@example.com,4610339936,Average,TRUE,60k to 100k,4
EMP1102,Alice,Johnson,35,Finance-Texas,Active,31-Mar-22,84422,alice.johnson@example.com,9141612845,Average,FALSE,60k to 100k,4
EMP1104,Grace,Johnson,32,Sales-Illinois,Active,07-May-24,86580,grace.johnson@example.com,5379502096,Good,TRUE,60k to 100k,2
EMP1110,Eva,Garcia,30,Cloud Tech-Texas,Active,11-Jun-24,71533,eva.garcia@example.com,8728399920,Good,TRUE,60k to 100k,2
EMP1112,Heidi,Garcia,40,Cloud Tech-Illinois,Active,26-Dec-24,80242,heidi.garcia@example.com,894870604,Good,TRUE,60k to 100k,1
EMP1114,Alice,Davis,35,Sales-Texas,Active,21-Aug-22,86327,alice.davis@example.com,3046875062,Average,FALSE,60k to 100k,4
EMP1120,Alice,Garcia,30,HR-Illinois,Active,12-Aug-21,80668,alice.garcia@example.com,6110804660,Good,TRUE,60k to 100k,5
EMP1121,Bob,Jones,25,DevOps-Illinois,Active,24-Dec-23,61086,bob.jones@example.com,9639907675,Excellent,TRUE,60k to 100k,2
EMP1124,Heidi,Jones,32,Admin-Florida,Active,12-May-23,85577,heidi.jones@example.com,4567972319,Poor,FALSE,60k to 100k,3
EMP1135,Eva,Jones,25,Cloud Tech-California,Active,23-Aug-21,75092,eva.jones@example.com,1534735527,Excellent,TRUE,60k to 100k,5
EMP1138,Eva,Davis,40,HR-Nevada,Active,05-Jul-24,82568,eva.davis@example.com,4253042896,Poor,TRUE,60k to 100k,2
EMP1143,Eva,Garcia,30,Sales-California,Active,27-Jul-23,63309,eva.garcia@example.com,1214785389,Good,FALSE,60k to 100k,3
EMP1153,Grace,Williams,32,DevOps-Nevada,Active,18-Dec-24,79042,grace.williams@example.com,6668459089,Average,TRUE,60k to 100k,1
EMP1154,Heidi,Jones,32,Finance-California,Active,14-Nov-23,75937,heidi.jones@example.com,2259999662,Excellent,TRUE,60k to 100k,2
EMP1159,Charlie,Brown,32,Cloud Tech-California,Active,23-Sep-20,87815,charlie.brown@example.com,1286716322,Average,TRUE,60k to 100k,6
EMP1161,Alice,Smith,30,HR-Texas,Active,28-Feb-24,79467,alice.smith@example.com,7430271692,Poor,FALSE,60k to 100k,2
EMP1165,Bob,Smith,35,Sales-New York,Active,15-Sep-20,69251,bob.smith@example.com,4841376814,Poor,TRUE,60k to 100k,6
EMP1168,Heidi,Davis,40,Finance-Nevada,Active,02-Oct-21,79873,heidi.davis@example.com,41257770,Average,FALSE,60k to 100k,5
EMP1172,Eva,Williams,32,HR-California,Active,29-Mar-23,85519,eva.williams@example.com,816470899,Excellent,FALSE,60k to 100k,3
EMP1177,Alice,Williams,25,DevOps-Illinois,Active,09-Feb-22,79388,alice.williams@example.com,5063731494,Average,TRUE,60k to 100k,4
EMP1179,Charlie,Williams,32,Cloud Tech-Nevada,Active,11-Jul-21,81018,charlie.williams@example.com,2419562524,Excellent,TRUE,60k to 100k,5
EMP1181,Heidi,Davis,32,DevOps-California,Active,27-Mar-21,77668,heidi.davis@example.com,8903091435,Good,TRUE,60k to 100k,5
EMP1182,Alice,Miller,30,HR-New York,Active,14-Apr-24,67886,alice.miller@example.com,3910257431,Poor,FALSE,60k to 100k,2
EMP1183,Alice,Williams,40,DevOps-Florida,Active,21-Sep-20,76615,alice.williams@example.com,6303975244,Good,TRUE,60k to 100k,6
EMP1188,Eva,Davis,35,Admin-California,Active,05-Jun-20,85734,eva.davis@example.com,2336293448,Excellent,TRUE,60k to 100k,6
EMP1192,Frank,Smith,35,Admin-Florida,Active,18-Aug-22,80955,frank.smith@example.com,4746897151,Good,FALSE,60k to 100k,4
EMP1197,Frank,Brown,25,Sales-Nevada,Active,21-Mar-20,67342,frank.brown@example.com,2497243991,Good,TRUE,60k to 100k,6
EMP1198,Heidi,Jones,32,Sales-Illinois,Active,15-Jan-22,76100,heidi.jones@example.com,116691835,Excellent,FALSE,60k to 100k,4
EMP1199,Grace,Williams,35,DevOps-Illinois,Active,04-Jun-24,94162,grace.williams@example.com,2644886945,Average,TRUE,60k to 100k,2
EMP1202,Grace,Davis,30,Sales-Nevada,Active,26-Sep-21,89125,grace.davis@example.com,2252237280,Excellent,TRUE,60k to 100k,5
EMP1205,Heidi,Jones,30,Admin-New York,Active,07-Jun-20,70705,heidi.jones@example.com,1509377099,Good,FALSE,60k to 100k,6
EMP1210,Grace,Davis,30,Admin-Illinois,Active,22-Nov-24,67500,grace.davis@example.com,5797863049,Average,TRUE,60k to 100k,1
EMP1212,Charlie,Jones,35,Finance-Illinois,Active,28-Aug-24,80623,charlie.jones@example.com,5671649327,Excellent,TRUE,60k to 100k,2
EMP1216,Heidi,Brown,40,Sales-Texas,Active,08-Feb-20,67915,heidi.brown@example.com,2871539914,Excellent,TRUE,60k to 100k,6
EMP1219,David,Davis,30,HR-Florida,Active,13-Jun-23,74697,david.davis@example.com,6904098365,Average,TRUE,60k to 100k,3
EMP1220,Charlie,Williams,25,Sales-California,Active,13-Dec-22,88086,charlie.williams@example.com,5528993159,Excellent,TRUE,60k to 100k,3
EMP1222,Alice,Miller,35,Cloud Tech-California,Active,10-Feb-24,95997,alice.miller@example.com,4209548148,Average,FALSE,60k to 100k,2
EMP1226,Grace,Jones,32,Finance-California,Active,22-Mar-24,95283,grace.jones@example.com,8612590471,Good,FALSE,60k to 100k,2
EMP1229,Eva,Jones,25,DevOps-Florida,Active,31-May-22,92172,eva.jones@example.com,7201859625,Poor,FALSE,60k to 100k,4
EMP1234,Heidi,Brown,25,Admin-Texas,Active,13-May-24,95161,heidi.brown@example.com,5182606887,Excellent,FALSE,60k to 100k,2
EMP1244,Grace,Davis,40,Sales-Texas,Active,11-Oct-21,94964,grace.davis@example.com,2625660930,Good,FALSE,60k to 100k,4
EMP1247,David,Smith,35,Sales-California,Active,28-May-21,63741,david.smith@example.com,1128497184,Poor,TRUE,60k to 100k,5
EMP1256,Grace,Davis,32,Finance-New York,Active,24-Jul-24,72921,grace.davis@example.com,9097283214,Excellent,TRUE,60k to 100k,2
EMP1261,Grace,Miller,25,Sales-Illinois,Active,12-Jan-22,88726,grace.miller@example.com,5265016730,Average,TRUE,60k to 100k,4
EMP1264,Grace,Williams,32,Cloud Tech-Texas,Active,07-Oct-20,99951,grace.williams@example.com,7722560530,Average,TRUE,60k to 100k,6
EMP1267,Heidi,Garcia,32,HR-Florida,Active,24-Jan-22,73187,heidi.garcia@example.com,8621102257,Good,FALSE,60k to 100k,4
EMP1269,David,Williams,25,Sales-Florida,Active,09-Dec-22,94032,david.williams@example.com,4716392822,Excellent,TRUE,60k to 100k,3
EMP1271,Alice,Garcia,40,HR-Florida,Active,25-Apr-22,98335,alice.garcia@example.com,2392312603,Excellent,FALSE,60k to 100k,4
EMP1274,Frank,Smith,35,Sales-Florida,Active,19-May-21,69530,frank.smith@example.com,414545634,Poor,TRUE,60k to 100k,5
EMP1283,David,Davis,32,DevOps-Nevada,Active,24-Dec-20,79252,david.davis@example.com,9036788126,Good,FALSE,60k to 100k,5
EMP1285,Alice,Williams,35,Sales-Illinois,Active,17-Nov-21,69919,alice.williams@example.com,2939087883,Average,TRUE,60k to 100k,4
EMP1287,Heidi,Jones,35,DevOps-New York,Active,17-Feb-24,73598,heidi.jones@example.com,3402424032,Poor,TRUE,60k to 100k,2
EMP1293,Frank,Johnson,32,Admin-New York,Active,06-Sep-22,60723,frank.johnson@example.com,2397240421,Excellent,TRUE,60k to 100k,4
EMP1295,David,Brown,30,DevOps-Illinois,Active,12-Dec-22,81272,david.brown@example.com,1820916600,Poor,FALSE,60k to 100k,3
EMP1297,Charlie,Davis,35,Sales-Florida,Active,25-Oct-23,64378,charlie.davis@example.com,1851327971,Poor,FALSE,60k to 100k,2
EMP1300,Alice,Smith,30,Sales-Texas,Active,17-May-22,74117,alice.smith@example.com,3036625435,Poor,FALSE,60k to 100k,4
EMP1311,Alice,Davis,32,Sales-Nevada,Active,06-Jul-23,97513,alice.davis@example.com,6333021259,Good,TRUE,60k to 100k,3
EMP1313,Grace,Davis,30,HR-Florida,Active,25-Mar-24,87655,grace.davis@example.com,2521310961,Poor,FALSE,60k to 100k,2
EMP1315,Charlie,Garcia,40,Admin-California,Active,07-Nov-21,95269,charlie.garcia@example.com,4120092819,Good,TRUE,60k to 100k,4
EMP1316,Frank,Williams,25,Sales-Nevada,Active,15-Apr-20,68792,frank.williams@example.com,6678498435,Average,FALSE,60k to 100k,6
EMP1328,David,Garcia,25,DevOps-New York,Active,23-Mar-21,85401,david.garcia@example.com,9912971023,Poor,TRUE,60k to 100k,5
EMP1331,Charlie,Smith,25,Cloud Tech-Illinois,Active,08-May-21,63435,charlie.smith@example.com,4721970545,Poor,FALSE,60k to 100k,5
EMP1340,Bob,Williams,32,DevOps-California,Active,19-Jul-20,80596,bob.williams@example.com,2146147682,Good,FALSE,60k to 100k,6
EMP1349,Eva,Davis,40,Admin-Texas,Active,09-Jun-22,69317,eva.davis@example.com,5289286645,Good,FALSE,60k to 100k,4
EMP1351,Heidi,Smith,25,Admin-California,Active,21-Mar-22,73255,heidi.smith@example.com,7981789045,Average,FALSE,60k to 100k,4
EMP1361,Grace,Smith,35,Finance-Texas,Active,20-Jul-20,68112,grace.smith@example.com,6404120910,Poor,FALSE,60k to 100k,6
EMP1363,Charlie,Johnson,35,Cloud Tech-Florida,Active,28-Aug-21,79118,charlie.johnson@example.com,7536170616,Poor,TRUE,60k to 100k,5
EMP1367,David,Johnson,32,Admin-Illinois,Active,08-Nov-21,89189,david.johnson@example.com,882351304,Poor,TRUE,60k to 100k,4
EMP1368,David,Williams,40,DevOps-New York,Active,04-Aug-23,96012,david.williams@example.com,2312447314,Average,TRUE,60k to 100k,3
EMP1370,Bob,Brown,32,Cloud Tech-Illinois,Active,19-Jan-22,72819,bob.brown@example.com,3461994236,Good,TRUE,60k to 100k,4
EMP1374,Bob,Smith,30,HR-Nevada,Active,12-Nov-22,77192,bob.smith@example.com,2562531354,Excellent,FALSE,60k to 100k,3
EMP1402,Frank,Williams,30,DevOps-Nevada,Active,23-Apr-22,93125,frank.williams@example.com,5122572075,Average,FALSE,60k to 100k,4
EMP1405,Eva,Brown,25,DevOps-California,Active,26-Nov-22,92485,eva.brown@example.com,3882211456,Good,TRUE,60k to 100k,3
EMP1406,Grace,Miller,35,DevOps-Texas,Active,10-Oct-22,77012,grace.miller@example.com,7584745704,Average,TRUE,60k to 100k,4
EMP1408,Grace,Brown,35,Sales-Nevada,Active,11-Apr-24,82971,grace.brown@example.com,6325703964,Good,FALSE,60k to 100k,2
EMP1409,Bob,Miller,25,Sales-Texas,Active,20-Jun-21,65102,bob.miller@example.com,3136148781,Average,TRUE,60k to 100k,5
EMP1420,Alice,Johnson,25,Cloud Tech-New York,Active,24-Aug-22,75478,alice.johnson@example.com,6128758574,Excellent,FALSE,60k to 100k,4
EMP1431,Alice,Miller,40,DevOps-New York,Active,20-Aug-21,68269,alice.miller@example.com,7744197545,Excellent,FALSE,60k to 100k,5
EMP1438,Charlie,Davis,25,Cloud Tech-Texas,Active,24-Sep-20,63869,charlie.davis@example.com,9961002310,Good,FALSE,60k to 100k,6
EMP1442,Charlie,Smith,35,HR-Florida,Active,11-Mar-20,92987,charlie.smith@example.com,4774332682,Excellent,TRUE,60k to 100k,6
